ra,dec,z,zErr,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class
1.7359375,0.17479573,0.158713,2.49E-05,0.8515263,1.052199,1.923864,2.633844,3.654449,GALAXY
1.7758469,0.22043839,2.605335,0.001552741,2.197546,2.786488,3.762388,4.166795,5.035896,QSO
1.7967498,1.7050907,0.3327817,5.50E-05,0.7379267,2.658415,13.83422,24.62141,35.44242,GALAXY
1.7347338,1.6868771,0.2816743,4.69E-05,0.5189748,3.516382,14.97576,25.27268,34.94724,GALAXY
1.7602002,1.820333,0.3676205,7.40E-05,0.690112,1.359228,6.815951,12.52914,19.91041,GALAXY
1.7027531,1.8294121,0.6308528,0.000136378,0.1610482,0.7210864,3.057934,8.024517,11.64782,GALAXY
1.7352629,1.8968332,0.7204409,0.000118245,1.329376,1.008319,1.683508,3.364829,3.971446,GALAXY
1.7274084,1.7259387,2.370755,0.000746782,2.491047,3.206021,3.28406,3.236695,2.888634,QSO
1.6770414,1.819289,0.1781462,2.35E-05,3.447964,12.30681,37.34551,57.88464,79.86443,GALAXY
1.6820662,1.9820263,0.2763116,3.29E-05,0.9037969,5.108412,23.09712,39.49268,55.28255,GALAXY
1.7122064,1.9909988,0.2764007,3.82E-05,1.501863,3.419666,14.07697,25.73856,39.05693,GALAXY
1.748791,1.2694612,0.5064346,0.000132731,-0.7841818,0.5205371,3.248214,7.650409,11.26493,GALAXY
1.7904136,1.2931529,0.5064721,0.000131871,0.09936325,0.8770683,3.702572,8.069728,11.75239,GALAXY
1.7150975,1.255897,0.5057392,0.000128246,-0.01489181,0.881839,4.148821,9.638546,14.65431,GALAXY
1.7476831,1.3324062,0.5466991,0.000150755,1.069171,1.145989,4.174356,10.0583,16.20489,GALAXY
1.7851281,1.3602789,0.2924778,5.06E-05,1.535771,3.77546,16.62461,28.01386,38.23393,GALAXY
1.6778068,1.3391798,0.6304231,0.000178671,0.7250294,0.5796867,2.631709,7.506865,13.38522,GALAXY
1.6735409,1.4555383,0.2782151,3.30E-05,1.888708,5.842769,23.30748,38.91925,54.24447,GALAXY
1.6845316,1.5076875,0.6712313,0.00014656,0.1428625,0.5909096,2.31358,6.583992,10.72947,GALAXY
1.6276004,1.4959249,0.3830112,5.16E-05,0.8286008,2.49113,13.31842,24.47137,36.85159,GALAXY
1.6937751,1.6491743,0.5442485,0.000137265,-0.1946463,0.5017309,2.709942,7.470438,11.47609,GALAXY
1.641306,1.6630008,2.815192,0.000263722,3.854459,5.715654,7.444563,9.620378,11.95131,QSO
1.645762,1.6806761,0.5488244,0.000111151,-0.231256,0.7495221,3.145795,7.501785,10.97988,GALAXY
1.6190741,1.6901145,0.5186669,0.000117786,-0.5268144,0.7630453,3.630642,8.546942,12.51118,GALAXY
1.5869254,1.7812095,0.6310521,0.000125014,1.028448,1.159108,2.461708,4.811153,6.215674,GALAXY
1.5929833,1.6728073,0.4131307,0.000112555,0.6888363,0.848547,4.810199,9.693615,15.71067,GALAXY
1.55588,1.8426945,0.42671,6.56E-05,0.6754114,1.800223,9.894672,20.03708,30.64911,GALAXY
1.5538407,1.8866573,0.3816556,7.95E-05,-0.1794426,1.511614,7.48148,13.30387,19.03503,GALAXY
1.6518799,1.9222241,0.5495188,0.000152724,-0.2399163,0.5343798,2.431861,6.238407,9.153012,GALAXY
1.6622095,1.9753548,0.2770521,3.22E-05,1.103235,4.79955,21.18486,36.12979,50.81861,GALAXY
1.6382969,1.9389246,0.4978476,0.000109524,0.3370676,0.9401369,5.063809,11.50119,17.4893,GALAXY
1.6303014,1.9757903,0.2951046,4.33E-05,0.6338186,3.811944,17.2403,29.76159,42.47686,GALAXY
